"State","Facility Name","Facility ID","Unit ID","Associated Stacks","Year","Operating Time Count","Sum of the Operating Time","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","SO2 Rate (lbs/mmBtu)","CO2 Mass (short tons)","CO2 Rate (short tons/mmBtu)","NOx Mass (short tons)","NOx Rate (lbs/mmBtu)","Heat Input (mmBtu)","Primary Fuel Type","Secondary Fuel Type","Unit Type","SO2 Controls","NOx Controls","PM Controls","Hg Controls","Program Code"
"CA","Moss Landing Power Plant",260,"1A",,2024,4926,4632.36,1057993.53,,2.297,0.001,425481.66,0.0648,39.971,0.0203,7656029.272,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Moss Landing Power Plant",260,"2A",,2024,4553,4254.06,988453.85,,2.129,0.001,394504.585,0.065,37.462,0.0202,7096048.495,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Moss Landing Power Plant",260,"3A",,2024,5290,4958.61,1113582.95,,2.428,0.001,450212.562,0.0651,38.485,0.0186,8092235.611,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Moss Landing Power Plant",260,"4A",,2024,4433,4123.27,952838.89,,2.034,0.001,377186.874,0.0668,36.418,0.0211,6780931.376,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Cabrillo Power I Encina Power Station",302,"10",,2024,673,486.9,32986.1,,0.097,0.001,19120.168,0.0591,1.296,0.0177,321746.779,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cabrillo Power I Encina Power Station",302,"6",,2024,1169,864.58,59255.38,,0.173,0.001,34244.87,0.0591,2.361,0.0199,576240.103,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cabrillo Power I Encina Power Station",302,"7",,2024,1181,867.61,59858.87,,0.175,0.001,34701.03,0.0591,2.214,0.0183,583907.967,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cabrillo Power I Encina Power Station",302,"8",,2024,1074,805.35,57094.68,,0.166,0.001,32919.114,0.0591,2.456,0.0204,553912.197,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Cabrillo Power I Encina Power Station",302,"9",,2024,1167,865.88,60652.46,,0.175,0.001,34647.676,0.0591,2.207,0.0177,583031.313,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","AES Alamitos",315,"3",,2024,305,305,13940,,0.062,0.001,12366.6,0.0592,1.884,0.0169,208098.5,"Pipeline Natural Gas","Residual Oil","Tangentially-fired",,,,,"ARP"
"CA","AES Alamitos",315,"4",,2024,182,182,7967,,0.037,0.001,7308.8,0.0592,1.425,0.0174,122994.6,"Pipeline Natural Gas","Residual Oil","Tangentially-fired",,,,,"ARP"
"CA","AES Alamitos",315,"5",,2024,155,155,16913,,0.066,0.001,13011.1,0.0591,0.814,0.0148,218937.8,"Pipeline Natural Gas","Residual Oil","Dry bottom wall-fired boiler",,,,,"ARP"
"CA","AES Alamitos",315,"CT1",,2024,4139,3849.66,1212989.43,,2.485,0.001,492328.55,0.059,22.894,0.0093,8284416.091,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","AES Alamitos",315,"CT2",,2024,4239,3938.86,1242648.09,,2.536,0.001,502347.718,0.059,23.815,0.0099,8452997.285,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","El Segundo",330,"5",,2024,501,449.3,97868.7,,0.25,0.001,49508.715,0.059,2.265,0.0081,833083.302,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","El Segundo",330,"7",,2024,438,392.96,83428.15,,0.211,0.001,41813.706,0.059,2.353,0.0095,703600.173,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","AES Huntington Beach",335,"2",,2024,169,169,5912,,0.022,0.001,4371.7,0.0594,0.991,0.0688,73556.4,"Pipeline Natural Gas","Residual Oil","Dry bottom wall-fired boiler",,,,,"ARP"
"CA","AES Huntington Beach",335,"CT1",,2024,4226,3960.58,1243287.35,,2.537,0.001,502622.929,0.059,26.489,0.0104,8457639.339,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","AES Huntington Beach",335,"CT2",,2024,4152,3893.38,1232378.28,,2.501,0.001,495481.583,0.059,29.827,0.0106,8337411.523,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","Long Beach Generating Station",341,"1",,2024,81,66.65,3104.12,,0.015,0.001,2901.216,0.059,0.556,0.0741,48815.666,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Long Beach Generating Station",341,"2",,2024,72,58.36,2757.84,,0.013,0.001,2616.999,0.059,0.498,0.0727,44040.537,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Long Beach Generating Station",341,"3",,2024,65,49.14,2294.85,,0.012,0.001,2376.252,0.0591,0.554,0.0847,39981.48,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Long Beach Generating Station",341,"4",,2024,59,47.33,2216,,0.012,0.001,2330.552,0.0591,0.445,0.0731,39216.06,"Pipeline Natural Gas",,"Combustion turbine",,"Water Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Ormond Beach Power, LLC.",350,"1",,2024,193,183.31,20794.46,,0.087,0.001,17217.079,0.0591,1.858,0.0216,289695.477,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Ormond Beach Power, LLC.",350,"2",,2024,229,216.12,20617.13,,0.088,0.001,17515.001,0.0591,1.14,0.0098,294724.894,"Pipeline Natural Gas",,"Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Mountainview Generating Station",358,"3-1",,2024,3580,3456.07,735640.64,,1.587,0.001,314361.893,0.059,18.001,0.0138,5289729.171,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Mountainview Generating Station",358,"3-2",,2024,3051,2947.93,657789.25,,1.447,0.001,286631.108,0.059,14.344,0.011,4823116.373,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Mountainview Generating Station",358,"4-1",,2024,3124,2990.86,654055.74,,1.398,0.001,276846.556,0.059,17.773,0.0163,4658439.313,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Mountainview Generating Station",358,"4-2",,2024,2475,2372.28,526683.67,,1.115,0.001,220782.11,0.059,11.997,0.0135,3715118.614,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Ammonia Injection|Selective Catalytic Reduction",,,"ARP"
"CA","Grayson Power Plant",377,"9",,2024,1601,1380.26,48735.62,,0.156,0.001,28925.33,0.0593,2.415,0.0168,486719.172,"Pipeline Natural Gas",,"Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","El Centro",389,"2-2",,2024,2917,2914.33,238257.02,,0.66,0.001,130797.999,0.059,35.796,0.0326,2201019.618,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","El Centro",389,"3-1",,2024,7861,7843.6,390213.72,,0.899,0.001,178054.839,0.0592,8.316,0.0057,2996487.148,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","El Centro",389,"3-2",,2024,7234,7230.75,358484.99,,0.823,0.001,162970.815,0.0592,6.767,0.0049,2742387.154,"Pipeline Natural Gas",,"Combined cycle",,"Dry Low NOx Burners|Selective Catalytic Reduction",,,"ARP"
"CA","El Centro",389,"4",,2024,3397,3384.37,100800.91,,0.342,0.001,67745.281,0.0593,33.566,0.0601,1139952.351,"Pipeline Natural Gas","Residual Oil","Dry bottom wall-fired boiler",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"10",,2024,317,254.47,10410.75,,0.032,0.001,6197.221,0.059,0.606,0.0143,105392.161,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"**10A",,2024,827,774.01,72285.44,,0.197,0.001,38546.587,0.059,2.421,0.0099,655549.786,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"**10B",,2024,1246,1201.83,111527.82,,0.294,0.001,57544.826,0.059,2.095,0.0065,978628.576,"Pipeline Natural Gas","Diesel Oil","Combined cycle",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"11",,2024,471,377.65,15748.46,,0.047,0.001,9242.01,0.059,0.839,0.013,157194.897,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
"CA","Harbor Generating Station",399,"12",,2024,451,367.5,14382.8,,0.043,0.001,8518.908,0.059,0.78,0.0135,144897.683,"Pipeline Natural Gas","Diesel Oil","Combustion turbine",,"Selective Catalytic Reduction",,,"ARP"
